"parameter";"value"
"ag_biomass";"100.94"
"bg_biomass";"604.46"
"nutrients_pool";"0.0"
"detritus_pool";"0.0"
"pop_n";"8"
"pop_mean_size";"9"
"pop_var_size";"3"
